pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
1863515,haemoglobin level between 26 and 35 wk,Zidovudine prophylaxis initiation,placebo,continuous,,769,,667,-0.4,,,,,,1863515_direct.jsonl
1863515,leucocyte count between 26 and 35 wk,Zidovudine prophylaxis initiation,placebo,continuous,,769,,667,-423.0,,,,,,1863515_direct.jsonl
1863515,absolute neutrophil count between 26 and 35 wk,Zidovudine prophylaxis initiation,placebo,continuous,,769,,667,-485.0,,,,,,1863515_direct.jsonl
1863515,haemoglobin level at 35 wk gestation,Zidovudine prophylaxis initiation,placebo,continuous,,739,,638,10.7,,11.2,,,,1863515_direct.jsonl
1863515,leucocyte count at 35 wk gestation,Zidovudine prophylaxis initiation,placebo,continuous,,730,,632,8818.0,,8362.0,,,,1863515_direct.jsonl
1863515,absolute neutrophil count at 35 wk gestation,Zidovudine prophylaxis initiation,placebo,continuous,,730,,632,5639.0,,6150.0,,,,1863515_direct.jsonl
2363753,Days with fever,Amifostine,Control,continuous,,20,,20,2.0,,4.0,,,,2363753_direct.jsonl
2363753,Hospital stay,Amifostine,Control,continuous,,20,,20,16.0,,18.0,,,,2363753_direct.jsonl
2363753,Grade III/IV stomatitis,Amifostine,Control,binary,5.0,20,10.0,20,,,,,,,2363753_direct.jsonl
2363753,Glomerular filtration rate fall,Amifostine,Control,continuous,,20,,20,10.0,,37.0,,,,2363753_direct.jsonl
2596788,GERD-knowledge,education,control,continuous,,102,,109,17.1,,14.0,,,,2596788_direct.jsonl
